,candidate,tweet,date
92,Claire McCaskill,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:48
93,Claire McCaskill,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:44
94,Claire McCaskill,"Pres. Trump has flown to MO 4 times to campaign against my friend Claire McCaskill, and special interest groups have spent more than $20 MILLION to flip her seat. So please, give now so Claire can turn out voters to keep this seat blue and protect the future of the Supreme Court.",2018-10-28 23:59:43
95,Claire McCaskill,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:43
96,Claire McCaskill,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags

“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?

#VoteRedToSaveAmerica 

https://t.co/jwnStFepRX",2018-10-28 23:59:30
97,Claire McCaskill,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:27
98,Claire McCaskill,"This is urgent: Poll after poll shows Claire McCaskill TIED with her extremist GOP opponent in Missouri’s toss-up Senate race. She needs funds to stand up to GOP attack ads, so I promised her that we’d come through. Control of the Senate is at stake. Give now to help Claire win!",2018-10-28 23:59:27
99,Claire McCaskill,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:22
100,Marsha Blackburn,"Democrat trash....

UN-FREAKING-BELIEVABLE: Protesters heckle Marsha Blackburn during moment of silence for Tree of Life victims https://t.co/68bI1H8d4x via @twitchyteam",2018-10-28 23:59:57
101,Marsha Blackburn,@elynnhardi1 @BearmanShannon @LauraGreenImp @Sedibus_MCML Phil bredesen was a great mayor and an excellent governor for the state of Tennessee. He has ethics and integrity which is hard to find these days in any politician. You won't find these qualities in Marsha Blackburn. She's definitely got Trump in her,2018-10-28 23:59:28
102,Marsha Blackburn,Protesters dragged from Marsha Blackburn election rally in Nashville https://t.co/13gIX8otK6 via @thinkprogress,2018-10-28 23:59:19
103,Marsha Blackburn,@VoteMarsha Marsha Blackburn voted to kill Social Security and Medicare as we know it. She could care less about her constituents. Blackburn is a hard core liar. https://t.co/lezNmT5nqj,2018-10-28 23:59:13
104,Marsha Blackburn,https://t.co/MTMFnfEqu2 via @twitchyteam,2018-10-28 23:59:02
105,Marsha Blackburn,@elynnhardi1 @BearmanShannon @LauraGreenImp @Sedibus_MCML Phil bredesen was a great mayor and an excellent governor for the state of Tennessee. He has ethics and integrity which is hard to find these days in any politician. You won't find these qualities in Marsha Blackburn. She's definitely got Trump in her,2018-10-28 23:58:45
106,Marsha Blackburn,"This is BEYOND disgusting, radical leftist heckles Marsha Blackburn DURING a moment of silence for victims of #PittsburghSynagogue shooting...
#WalkAway https://t.co/w90AU91M02",2018-10-28 23:58:41
107,Marsha Blackburn,UN-FREAKING-BELIEVABLE: Protesters heckle Marsha Blackburn during moment of silence for Tree of Life victims -- Corrected https://t.co/bEqoPR4UdS,2018-10-28 23:58:36
