,candidate,tweet,date
87,Josh Hawley,"Missouri, vote for Josh Hawley!
Indiana, vote for Mike Braun!
New Jersey, vote for Bob Hugin!
Georgia, vote for Brian Kemp!
Florida, vote for Rick Scott and Ron DeSantis! 
New Hampshire, vote with Eddie Edwards! 
Michigan ,vote for John James! 
Arizona, vote for Martha McSally! https://t.co/XAjXtSySWX",2018-11-04 23:59:40
88,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:39
89,Josh Hawley,"#MISSOURI #CONSERVATIVES #WALKAWAY

This week Claire McCaskill tried representing herself as a Centrist &amp; distance herself from Pelosi/Schumer.

LIES!  She is the Radical Left &amp; has a worse conservative record than PELOSI!

Vote JOSH HAWLEY FOR SENATE 
#VoteRed #VoteDemsOut https://t.co/b5S7nS3abY",2018-11-04 23:59:39
90,Claire McCaskill,"#MISSOURI #CONSERVATIVES #WALKAWAY

This week Claire McCaskill tried representing herself as a Centrist &amp; distance herself from Pelosi/Schumer.

LIES!  She is the Radical Left &amp; has a worse conservative record than PELOSI!

Vote JOSH HAWLEY FOR SENATE 
#VoteRed #VoteDemsOut https://t.co/b5S7nS3abY",2018-11-04 23:59:39
91,Claire McCaskill,Claire McCaskill Under Fire After Staffer Admits Planned Parenthood Secretly Funnels Money to Her https://t.co/13jyfaZd9O https://t.co/mIaBmujmpo,2018-11-04 23:59:15
92,Claire McCaskill,Claire McCaskill Under Fire After Staffer Admits Planned Parenthood Secretly Funnels Money to Her https://t.co/13jyfaZd9O https://t.co/mIaBmujmpo,2018-11-04 23:59:06
93,Claire McCaskill,"Claire McCaskill stands with them, not Missouri. Find your polling place now and vote November 6th!",2018-11-04 23:59:05
94,Claire McCaskill,"@CandiceRoyer Me! Red MO, where I’m afraid we might lose our one Democrat, Claire McCaskill, to trump, yes man, Josh Hawley. I might need to move if that happens.",2018-11-04 23:58:59
95,Claire McCaskill,"💥💥 MISSOURI ELECTION ALERT 💥💥
If you want want Border Security, and to preserve your way of life, it’s time to say goodbye the Claire McCaskill
And vote for Josh Hawley @HawleyMO for U.S Senate.  Our President agrees that Josh Hawley is the right choice for Missouri. https://t.co/jseG3AfjFW",2018-11-04 23:58:57
96,Claire McCaskill,Claire McCaskill Under Fire After Staffer Admits Planned Parenthood Secretly Funnels Money to Her https://t.co/13jyfaZd9O https://t.co/mIaBmujmpo,2018-11-04 23:58:55
97,Claire McCaskill,@MomsDemand is getting out the Vote for Claire McCaskill @McCaskill4MO &amp; Cort VanOstran @cortvo! We need to do it too! #VoteDem #WaveCast #WaveCastMO  #FlipTheHouse #FlipTheSenate 💥 Vote! 💥 https://t.co/eKue6XWJRA,2018-11-04 23:58:44
98,Claire McCaskill,@MeetThePress @MorganRadford Republicans want to take away protections for people with pre-existing health conditions like asthma &amp; diabetes. Republicans voted to take away those protections last year and are suing to take away the pre-existing protections. Vote for Claire McCaskill,2018-11-04 23:58:35
99,Claire McCaskill,"Protect SS, Medicare and Medicaid get out and vote BLUE! 
Re-elect Blue Senators: Heide Heitkamp for North Dakota, 
Claire McCaskill for Missouri, Joe Donnelly for Indiana, Jon Tester for Montana,
Bob Menendez for New Jersey, Tammy Baldwin for Wisconsin,
Sherrod Brown of Ohio! https://t.co/2TQotnHnWx",2018-11-04 23:58:24
